model_path,train_data_path,valid_data_path,vocab_path,model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,pretrain_model_path,seed,class_num,vocab_size,acc
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.49722222222222223
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.7222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.08055555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.044444444444444446
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.5805555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.7388888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.08611111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.11666666666666667
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.6333333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.7527777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.12777777777777777
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.10833333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.12777777777777777
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.33055555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.03333333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.21388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.475
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.30277777777777776
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.5555555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.04722222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.06944444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.041666666666666664
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,64,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.04722222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.041666666666666664
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,128,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.14444444444444443
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,fast_text,20,256,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.6333333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6194444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.125
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.08055555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.7138888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.13055555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.08055555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.7
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6583333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.2972222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.16111111111111112
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.4722222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.4527777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.1
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.6166666666666667
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.5611111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.6722222222222223
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.6444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.075
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.16666666666666666
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.06388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,64,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.075
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.25833333333333336
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.2861111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.03611111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,128,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.041666666666666664
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.4444444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.4361111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,cnn,20,256,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.5944444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6194444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.07777777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.06666666666666667
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.6583333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.6722222222222223
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.6833333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.044444444444444446
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.03888888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.19444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.20277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.03888888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.4027777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.4638888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.03888888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.6361111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.625
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.025
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,64,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.044444444444444446
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.044444444444444446
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.06388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,128,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.08055555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.05555555555555555
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.1111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,gru,20,256,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.058333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.06388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.03888888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.7444444444444445
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.7166666666666667
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.075
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.03888888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.8138888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.825
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,adam,0.01,bert-base-chinese,1024,18,4622,0.06388888888888888
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,adam,0.01,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,sgd,0.01,bert-base-chinese,1024,18,4622,0.8277777777777777
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,sgd,0.01,bert-base-chinese,1024,18,4622,0.7388888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.05
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.5
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.5444444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.025
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.42777777777777776
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.5388888888888889
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,adam,0.001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,adam,0.001,bert-base-chinese,1024,18,4622,0.025
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,sgd,0.001,bert-base-chinese,1024,18,4622,0.5944444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,sgd,0.001,bert-base-chinese,1024,18,4622,0.4111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.8444444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.8444444444444444
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.08333333333333333
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,64,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.06111111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.8333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.8333333333333334
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.05277777777777778
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,128,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.07222222222222222
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,adam,0.0001,bert-base-chinese,1024,18,4622,0.8361111111111111
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,adam,0.0001,bert-base-chinese,1024,18,4622,0.8305555555555556
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,max,sgd,0.0001,bert-base-chinese,1024,18,4622,0.1
output,../train_tag_news.json,../valid_tag_news.json,../chars.txt,bert,20,256,3,2,10,128,avg,sgd,0.0001,bert-base-chinese,1024,18,4622,0.1111111111111111
